category,top_keys
MLB,"[('投手', 45), ('大聯盟', 22), ('道奇', 21), ('日本', 19), ('比賽', 18), ('打者', 18), ('東京', 17), ('安打', 16), ('遊戲', 15), ('任務', 15), ('球員', 14), ('玩家', 13), ('大谷翔平', 12), ('表現', 12), ('運動', 12), ('球隊', 12), ('問題', 11), ('山本', 11), ('指叉球', 10), ('開幕戰', 10), ('時間', 10), ('棒球', 10), ('職棒', 10), ('大谷', 10), ('速球', 9), ('聯盟', 9), ('機會', 9), ('巨蛋', 9), ('春訓', 9), ('山本由伸', 8), ('系列賽', 7), ('道奇隊', 7), ('牛棚', 7), ('生涯', 7), ('球速', 7), ('世界', 7), ('美國', 7), ('數據', 7), ('佐佐木朗希', 6), ('對手', 6), ('芝加哥', 6), ('隊友', 6), ('情況', 6), ('打擊', 6), ('模式', 6), ('手術', 6), ('狀態', 5), ('洛杉磯', 5), ('威力', 5), ('整體', 5), ('海外', 5), ('冠軍', 5), ('隊伍', 5), ('球迷', 5), ('樂趣', 5), ('季後賽', 5), ('期間', 5), ('水準', 5), ('日籍', 5), ('單場', 4), ('攻勢', 4), ('上述', 4), ('變化', 4), ('策略', 4), ('速度', 4), ('球種', 4), ('視界', 4), ('山本由', 4), ('永昇太', 4), ('好手', 4), ('身手', 4), ('總教練', 4), ('大賽', 4), ('台灣', 4), ('系統', 4), ('聯賽', 4), ('戰力', 4), ('標準', 4), ('二壘', 4), ('球數', 4), ('風險', 4), ('狀況', 4), ('中央社', 4), ('結果', 4), ('例行賽', 4), ('關鍵', 4), ('方面', 3), ('熊隊', 3), ('投手群', 3), ('愛爾達', 3), ('官方', 3), ('揮空率', 3), ('佐佐木', 3), ('好球', 3), ('危機', 3), ('節奏', 3), ('家鄉', 3), ('團隊', 3), ('王建民', 3), ('廣告', 3)]"
中職,"[('安打', 29), ('成績', 24), ('兄弟', 19), ('投手', 18), ('熱身賽', 16), ('手套', 16), ('表現', 15), ('捕手', 13), ('機會', 13), ('中職', 13), ('防禦率', 13), ('球隊', 13), ('台鋼', 13), ('比賽', 13), ('中信', 13), ('打者', 13), ('富邦', 12), ('球棒', 12), ('艾速特', 11), ('一軍', 10), ('林立', 10), ('美津濃', 10), ('打擊率', 9), ('二軍', 9), ('生涯', 8), ('數據', 8), ('職棒', 8), ('外野', 8), ('林泓育', 8), ('時候', 7), ('戰力', 7), ('悍將', 7), ('洋投', 7), ('味全龍', 7), ('情況', 7), ('大聯盟', 6), ('戴培峰', 6), ('手感', 6), ('打擊', 6), ('台鋼雄鷹', 6), ('棒球', 6), ('葉詠捷', 6), ('球員', 6), ('選手', 6), ('狀態', 6), ('王柏融', 6), ('林哲瑄', 6), ('中華', 6), ('官辦', 6), ('一壘', 6), ('內野', 6), ('球迷', 5), ('國家隊', 5), ('教練團', 5), ('二壘', 5), ('經驗', 5), ('後援', 5), ('來源', 5), ('張洺瑀', 5), ('上壘率', 5), ('帳面', 5), ('三振率', 5), ('整體', 5), ('滾地球', 5), ('跑壘員', 5), ('三壘', 5), ('李凱威', 5), ('工廠', 5), ('能力', 4), ('選秀', 4), ('王牌', 4), ('原因', 4), ('影片', 4), ('位置', 4), ('味全龍隊', 4), ('外野手', 4), ('時間', 4), ('直球', 4), ('江承諺', 4), ('案例', 4), ('樂天桃猿', 4), ('團隊', 4), ('過程', 4), ('分數', 4), ('內容', 4), ('賽事', 3), ('人選', 3), ('林家正', 3), ('功力', 3), ('全壘打', 3), ('春訓', 3), ('臺灣', 3), ('經典賽', 3), ('名單', 3), ('影響', 3), ('印象', 3), ('世界', 3), ('重點', 3), ('角色', 3), ('定位', 3)]"
日職,"[('日本', 46), ('投手', 30), ('球隊', 21), ('球場', 21), ('日本隊', 18), ('球員', 16), ('日職', 16), ('棒球', 15), ('選手', 15), ('巨人', 14), ('球迷', 13), ('奧運', 11), ('王牌', 11), ('韓國', 10), ('阪神', 10), ('防禦率', 9), ('職棒', 9), ('火腿', 9), ('新庄', 9), ('世界', 8), ('國際', 8), ('星野', 8), ('金牌', 8), ('棒球界', 8), ('戰力', 8), ('比賽', 8), ('戰術', 8), ('捕手', 8), ('關鍵', 8), ('聯盟', 8), ('球速', 8), ('生涯', 8), ('西武', 8), ('古林', 8), ('隊伍', 7), ('央聯', 7), ('宮城', 7), ('內容', 7), ('軟銀', 7), ('打者', 7), ('石川', 7), ('總教練', 6), ('打擊', 6), ('教練', 6), ('風格', 6), ('主場', 6), ('賽事', 5), ('實力', 5), ('冠軍', 5), ('目標', 5), ('美國', 5), ('範圍', 5), ('球團', 5), ('直球', 5), ('東京', 5), ('效果', 5), ('地方', 5), ('機會', 5), ('樂天金鷲隊', 5), ('門票', 5), ('伊藤大海', 5), ('來源', 5), ('程度', 5), ('北山', 5), ('甲斐', 5), ('夢想', 4), ('舞台', 4), ('征途', 4), ('準決賽', 4), ('勁敵', 4), ('熱血', 4), ('棒球隊', 4), ('失誤', 4), ('問題', 4), ('制度', 4), ('會議', 4), ('資訊', 4), ('方式', 4), ('洋聯', 4), ('太平洋', 4), ('村上頌樹', 4), ('台灣', 4), ('狀況', 4), ('時間', 4), ('屋頂', 4), ('運動', 4), ('狀態', 4), ('帳號', 4), ('位置', 4), ('人員', 4), ('睿煬', 4), ('火腿隊', 4), ('影片', 4), ('球種', 4), ('選秀', 4), ('中繼', 4), ('合約', 4), ('媒體', 4), ('變速球', 4), ('代表性', 3)]"
三級棒球,"[('棒球', 88), ('運動', 57), ('球員', 36), ('教練', 32), ('孩子', 29), ('學校', 24), ('球隊', 20), ('訓練', 19), ('能力', 18), ('日本', 17), ('林昱珉', 14), ('鉑濬', 14), ('學生', 13), ('比賽', 12), ('老師', 12), ('家長', 12), ('教育', 12), ('傷害', 11), ('台灣', 11), ('大學', 10), ('職業', 10), ('高雄', 10), ('計畫', 9), ('少棒', 9), ('手套', 9), ('宋懿', 9), ('時間', 8), ('課程', 8), ('機會', 8), ('興大', 8), ('穀保', 8), ('蔡袁華辰', 8), ('社區', 7), ('校隊', 7), ('考試', 7), ('小朋友', 7), ('團隊', 7), ('教練團', 7), ('球迷', 7), ('事件', 7), ('目標', 6), ('活動', 6), ('裝備', 6), ('運動場', 6), ('冠軍', 6), ('附農', 6), ('小學', 5), ('社會', 5), ('臺灣', 5), ('高中', 5), ('賽事', 5), ('狀況', 5), ('聯賽', 5), ('講習', 5), ('棒協', 5), ('捕手', 5), ('禁藥', 5), ('我國', 5), ('牛皮', 5), ('一壘', 5), ('投手', 5), ('垃圾話', 5), ('表現', 5), ('肌力', 5), ('南華', 5), ('教授', 5), ('變化', 4), ('數量', 4), ('體育班', 4), ('原因', 4), ('印象', 4), ('價格', 4), ('單位', 4), ('地方', 4), ('聯盟', 4), ('學科', 4), ('情況', 4), ('營養', 4), ('階段', 4), ('生活', 4), ('態度', 4), ('問題', 4), ('地區', 4), ('產品', 4), ('操場', 4), ('球場', 4), ('棒球場', 4), ('觀念', 4), ('家商', 4), ('高三', 4), ('玉米', 4), ('資源', 4), ('大賽', 4), ('三壘', 4), ('隊友', 4), ('鶯歌', 4), ('大專盃', 4), ('事情', 4), ('教育部', 3), ('縣市', 3)]"
全部,"[('棒球', 119), ('投手', 98), ('日本', 84), ('運動', 74), ('球員', 72), ('球隊', 66), ('比賽', 51), ('安打', 47), ('打者', 41), ('教練', 39), ('機會', 35), ('表現', 33), ('球迷', 30), ('成績', 30), ('職棒', 29), ('孩子', 29), ('大聯盟', 28), ('時間', 26), ('球場', 26), ('捕手', 26), ('能力', 25), ('手套', 25), ('學校', 25), ('聯盟', 24), ('防禦率', 24), ('選手', 24), ('生涯', 23), ('東京', 22), ('道奇', 22), ('問題', 22), ('世界', 21), ('訓練', 21), ('台灣', 20), ('打擊', 20), ('戰力', 20), ('情況', 19), ('兄弟', 19), ('日本隊', 19), ('數據', 18), ('熱身賽', 18), ('狀態', 17), ('日職', 17), ('球速', 17), ('冠軍', 17), ('職業', 17), ('王牌', 17), ('團隊', 16), ('任務', 16), ('狀況', 16), ('美國', 15), ('遊戲', 15), ('春訓', 15), ('賽事', 15), ('教練團', 15), ('來源', 14), ('隊伍', 14), ('打擊率', 14), ('中職', 14), ('巨人', 14), ('林昱珉', 14), ('鉑濬', 14), ('速球', 13), ('隊友', 13), ('整體', 13), ('巨蛋', 13), ('玩家', 13), ('大學', 13), ('外野', 13), ('一壘', 13), ('台鋼', 13), ('中信', 13), ('目標', 13), ('學生', 13), ('大谷翔平', 12), ('指叉球', 12), ('過程', 12), ('關鍵', 12), ('奧運', 12), ('傷害', 12), ('一軍', 12), ('富邦', 12), ('內容', 12), ('球棒', 12), ('老師', 12), ('家長', 12), ('教育', 12), ('開幕戰', 11), ('方式', 11), ('山本', 11), ('計畫', 11), ('水準', 11), ('韓國', 11), ('地方', 11), ('艾速特', 11), ('對手', 10), ('牛棚', 10), ('內野', 10), ('變化', 10), ('總教練', 10), ('大谷', 10)]"
